Eje X,Eje Y,Eje Z
352,25,-21
310,17,0
255,-17,-2
239,0,1
272,10,-1
283,17,-2
280,18,11
262,-5,10
281,-34,-17
313,8,-7
328,71,16
329,40,10
323,23,16
296,-4,18
268,-13,12
239,13,23
217,9,33
215,-19,24
221,5,31
220,0,28
221,-6,27
234,-4,29
252,-18,27
282,-33,37
307,-16,64
323,-24,57
320,-15,53
318,-1,54
317,11,56
320,12,65
309,7,72
271,0,61
218,4,69
133,-12,57
91,-6,50
7,19,25
-70,37,3
-152,15,-18
-219,17,-20
-271,47,-15
-336,55,-7
-380,56,1
-437,28,-23
-450,-12,-56
-458,24,-29
-462,28,-5
-472,9,0
-483,69,18
-465,89,-24
-466,41,-50
-421,-54,-72
-358,13,-21
-373,63,10
-394,45,-13
-412,-5,-68
-407,-20,-47
-349,-20,-17
-306,11,15
-296,19,21
-349,-10,-6
-415,-36,-48
-423,-13,-31
-392,0,53
-323,9,51
-285,-36,6
-288,-39,-42
-311,-1,-27
-323,15,-10
-326,38,2
-328,54,5
-346,34,-34
-374,-26,-36
-384,-29,1
-404,-15,23
-371,-3,3
-347,41,0
-351,17,-3
-368,-24,-1
-344,-13,-15
-320,45,-28
-343,20,-23
-353,20,-11
-370,20,-10
-391,41,-19
-396,89,-27
-402,40,-40
-383,-6,-33
-381,21,-32
-398,70,-24
-395,64,-23
-338,42,-18
-259,12,-7
-245,5,-2
-229,-16,4
-191,-14,3
-114,-62,10
-63,-96,31
26,-73,38
84,28,37
117,55,17
156,-32,-8
226,-84,-3
323,-52,24
392,-7,47
400,18,54
398,56,41
411,7,15
415,-77,11
436,-92,-1
470,-31,-8
453,29,-14
454,16,-18
461,-54,-8
470,-34,13
485,65,-10
463,50,-48
403,-39,-57
358,-99,-55
354,-87,-39
368,-23,-17
359,14,-23
333,-30,-63
322,-56,-65
343,-29,-61
418,24,-39
449,38,-24
433,16,-22
377,-82,-41
367,-84,-32
386,-42,-23
415,41,0
354,54,-10
322,13,-16
277,-32,-11
273,-37,-1
285,-8,21
271,25,35
256,-1,20
286,-30,-3
307,-26,-1
313,-5,13
321,10,19
297,22,10
265,10,0
267,7,4
260,27,8
249,21,2
230,6,6
228,-10,4
238,0,19
235,11,32
234,-13,24
238,-12,22
236,0,20
229,19,19
229,6,19
231,3,30
223,-2,34
218,-15,29
215,6,30
218,5,30
224,7,23
221,21,32
211,43,29
200,48,33
176,35,39
105,49,32
54,62,23
-71,46,-7
-178,26,-15
-245,22,-22
-302,47,-28
